,fpr,tpr,thresholds
0,0.0,0.0,1.9977451590821151
1,0.0,0.0020242914979757085,0.997745159082115
2,0.0,0.010121457489878543,0.995909322518855
3,0.001976284584980237,0.010121457489878543,0.9937564805150029
4,0.001976284584980237,0.016194331983805668,0.9916093186475341
5,0.003952569169960474,0.016194331983805668,0.991156378062442
6,0.003952569169960474,0.038461538461538464,0.9839459455106411
7,0.007905138339920948,0.038461538461538464,0.982678716769442
8,0.007905138339920948,0.04048582995951417,0.982523635961115
9,0.009881422924901186,0.04048582995951417,0.981028970796615
10,0.009881422924901186,0.0728744939271255,0.9658920608926559
11,0.011857707509881422,0.0728744939271255,0.965495311655104
12,0.011857707509881422,0.09109311740890688,0.951310817385092
13,0.01383399209486166,0.09109311740890688,0.950832561589777
14,0.01383399209486166,0.0931174089068826,0.9490586954634641
15,0.015810276679841896,0.0931174089068826,0.947342072380707
16,0.015810276679841896,0.09716599190283401,0.944187226705253
17,0.017786561264822136,0.09716599190283401,0.9430713150650258
18,0.017786561264822136,0.12753036437246965,0.9319513889495279
19,0.019762845849802372,0.12753036437246965,0.9312948395963759
20,0.019762845849802372,0.13157894736842105,0.9293830068781971
21,0.021739130434782608,0.13157894736842105,0.928703604266047
22,0.021739130434782608,0.1437246963562753,0.9216154429595921
23,0.023715415019762844,0.1437246963562753,0.921488850610331
24,0.023715415019762844,0.145748987854251,0.921286458382383
25,0.025691699604743084,0.145748987854251,0.9202500286046421
26,0.025691699604743084,0.15384615384615385,0.909809557488188
27,0.02766798418972332,0.15384615384615385,0.90844829310663
28,0.02766798418972332,0.15789473684210525,0.907728891586885
29,0.029644268774703556,0.15789473684210525,0.9053746743593359
30,0.029644268774703556,0.17813765182186234,0.8956464806105942
31,0.03162055335968379,0.17813765182186234,0.8953080198261891
32,0.03162055335968379,0.20647773279352227,0.8840731810778379
33,0.03557312252964427,0.20647773279352227,0.8811697287019341
34,0.03557312252964427,0.2165991902834008,0.878540561068803
35,0.039525691699604744,0.2165991902834008,0.877538464032114
36,0.039525691699604744,0.22469635627530365,0.873962532263249
37,0.043478260869565216,0.22469635627530365,0.8727506082504991
38,0.043478260869565216,0.25303643724696356,0.861526546999812
39,0.045454545454545456,0.25303643724696356,0.861147329444066
40,0.045454545454545456,0.2651821862348178,0.849466882180423
41,0.04940711462450593,0.2651821862348178,0.844126435928047
42,0.04940711462450593,0.2692307692307692,0.843162433011457
43,0.0533596837944664,0.2692307692307692,0.8425092434044928
44,0.0533596837944664,0.2732793522267207,0.8401155567262321
45,0.05533596837944664,0.2732793522267207,0.839560252381489
46,0.05533596837944664,0.29959514170040485,0.8326884401030842
47,0.05731225296442688,0.29959514170040485,0.8321373625658449
48,0.05731225296442688,0.3016194331983806,0.8308691256679591
49,0.05928853754940711,0.3016194331983806,0.8301273286342621
50,0.05928853754940711,0.30364372469635625,0.829836969031021
51,0.06126482213438735,0.30364372469635625,0.8286617461126301
52,0.06126482213438735,0.3097165991902834,0.8277339627966279
53,0.06324110671936758,0.3097165991902834,0.827387664932758
54,0.06324110671936758,0.3157894736842105,0.8221578213851899
55,0.06521739130434782,0.3157894736842105,0.8208504924550649
56,0.06521739130434782,0.3319838056680162,0.8134169161785391
57,0.06719367588932806,0.3319838056680162,0.812898185336962
58,0.06719367588932806,0.3623481781376518,0.7970223077572879
59,0.0691699604743083,0.3623481781376518,0.794721758225933
60,0.0691699604743083,0.3765182186234818,0.7879584461916239
61,0.07114624505928854,0.3765182186234818,0.78734267433174
62,0.07114624505928854,0.4048582995951417,0.767896598903462
63,0.07312252964426877,0.4048582995951417,0.767281585372984
64,0.07312252964426877,0.4352226720647773,0.752441007643938
65,0.07707509881422925,0.4352226720647773,0.7514707287773491
